timestamp,src_ip,src_port,dst_ip,dst_port,proto,duration,src_bytes,dst_bytes,conn_state,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,dns_qclass,dns_qtype,dns_rcode,http_request_body_len,http_response_body_len,http_status_code,type
1551535328,63,3889,1,40494,1,1.018013,997,2670,2,3,25,3266,34,2459,0,0,0,970,709,404,1
1551530996,39,20828,47,26339,0,1.764297,1281,501,2,6,41,1822,81,1814,1,1,1,253,749,500,1
1558793785,4,16740,32,29665,1,0.857267,1440,187,3,5,64,2146,77,3609,1,0,0,302,738,200,1
1555757183,75,34211,31,48317,0,1.812604,1232,41,0,9,38,2142,50,663,1,0,0,557,606,404,1
1557091059,28,35528,21,39923,0,0.750584,1434,27,2,7,38,2593,50,1378,1,0,1,375,963,403,1
1558598051,19,62023,52,23067,1,0.029288,439,3556,1,6,95,1975,95,573,1,0,0,299,338,404,1
1556236764,85,42886,35,12758,0,0.447433,736,3999,1,6,54,541,52,3887,1,0,1,679,48,200,1
1559560868,41,13863,72,41286,0,0.926456,3835,3496,2,3,66,1316,99,595,1,1,0,27,222,403,1
1557917487,83,35366,3,8223,1,0.426751,2933,2570,3,5,37,3921,54,1768,1,0,0,513,296,500,1
1557578246,45,65213,18,36639,1,1.903881,2888,1479,0,8,97,2923,89,523,0,1,0,96,472,403,1
1559491676,53,59173,44,43412,0,1.356125,1810,4557,2,5,85,3788,68,1007,1,0,1,361,582,404,1
1554682020,67,19497,56,52071,1,0.676621,1252,3378,1,5,65,1895,73,3524,0,0,1,689,327,404,1
1558562153,9,28056,22,31603,1,1.576875,3889,2187,1,1,53,1509,1,239,0,1,1,68,427,403,1
1554518134,81,9125,71,30440,1,1.73051,1137,3450,3,6,87,2160,25,340,1,1,0,455,321,403,1
1551602960,82,40937,54,28300,0,0.756903,3945,3962,2,2,10,3080,12,204,1,1,0,219,715,403,1
1555399137,5,44580,27,28960,1,1.165581,1232,3398,2,9,18,523,38,563,0,0,1,370,294,403,1
1553122701,15,43997,39,35975,0,0.700546,3297,951,2,10,14,201,32,3905,1,1,0,89,729,404,1
1551338872,84,40030,53,3302,1,1.324048,4578,2532,1,9,20,1113,78,490,1,0,1,90,776,403,1
1552107006,49,20086,71,10261,1,0.415315,4671,469,0,0,52,3780,40,2112,0,0,1,240,907,403,1
1553294775,38,50697,43,12921,0,1.293266,3090,2189,0,5,94,825,19,560,1,0,1,423,311,403,1
1552364337,33,58105,2,41929,1,0.535922,690,220,3,0,60,2608,37,570,0,1,1,29,961,404,1
1550177354,73,13537,11,37540,0,1.806805,4574,4195,2,1,62,1508,7,229,0,1,0,454,230,404,1
1550568167,12,17859,71,38535,0,0.979667,2244,3703,3,8,3,1254,98,2628,0,1,1,458,976,403,1
1556837838,14,59188,14,2525,1,0.969311,4960,4516,1,0,80,3341,6,1800,0,1,1,494,484,500,1
1559674882,62,19089,51,54603,1,1.50168,1776,3866,2,0,2,3105,5,1178,1,0,0,40,462,403,1
1555643344,27,15695,40,42505,0,1.720593,2293,4117,2,8,73,2877,15,1839,0,1,1,768,838,200,1
1555151955,43,40862,26,64779,1,0.409848,1127,4658,0,8,17,856,81,3774,1,0,0,79,971,200,1
1559929834,10,34581,63,10823,1,0.352781,3616,783,0,1,60,512,65,3401,1,1,1,468,855,403,1
1558427742,58,29079,33,49177,1,0.203706,2443,3182,0,8,21,1113,74,98,0,1,1,743,257,200,1
1550194258,50,61368,63,64805,1,0.880637,960,2736,2,2,100,3278,86,2769,0,0,1,573,308,404,1
1553490744,34,5122,60,39781,0,1.807714,3252,442,0,3,88,3479,30,945,0,1,0,175,330,200,1
1558134383,7,4217,33,60817,1,1.976479,2223,3929,2,3,47,2774,52,1556,1,1,1,412,961,200,1
1550222092,25,3694,37,32618,0,0.508043,4591,3708,0,6,89,2531,63,2611,1,1,0,564,823,404,1
1559703705,86,7944,37,9018,1,0.688823,4308,3034,3,7,5,3963,39,1683,1,1,1,813,789,403,1
1552356444,0,58827,51,31055,0,1.781449,3917,3703,2,6,72,3753,62,540,1,0,1,898,131,404,1
1556323348,37,20582,42,61924,1,1.754196,3316,3689,2,2,15,451,62,2207,0,0,0,596,169,200,1
1559818198,18,4400,27,42947,1,0.363012,972,3663,2,6,59,2691,24,1821,0,0,0,370,914,500,1
1552898648,34,19237,70,10837,0,0.865609,105,457,2,8,14,3715,75,1040,0,0,0,728,44,404,1
1556449654,46,8084,11,61265,0,1.569267,4328,3910,0,5,71,1200,90,2308,0,1,0,142,9,200,1
1559705596,35,20060,34,49066,1,1.906448,3895,176,2,1,61,949,78,3508,1,0,1,374,575,200,1
1559322765,6,3360,19,46700,0,1.452438,136,1035,1,2,67,3802,23,2618,0,1,1,563,25,200,1
1556729555,21,36865,4,38056,0,0.325914,4618,1450,0,4,37,3506,16,927,1,0,0,718,960,404,1
1553981322,11,51383,12,57585,1,0.968102,1172,3585,0,3,62,2210,5,171,1,1,1,377,36,404,1
1551135397,41,20592,6,25587,1,1.113957,4600,3462,3,10,34,135,43,1977,1,1,1,413,757,200,1
1558972232,78,45733,28,59811,1,1.556946,4598,1892,3,9,41,2478,90,2777,1,1,0,305,379,500,1
1557144419,59,13201,27,1060,1,0.479897,3675,4723,0,1,71,2800,3,1411,1,0,1,143,791,500,1
1559658730,3,25965,48,56398,1,0.8782,3868,3333,0,0,60,315,95,2651,0,0,1,754,710,200,1
1551466837,14,37394,38,18253,1,0.174355,1716,2395,3,2,58,3015,64,1143,1,0,1,606,893,200,1
1558681432,72,44566,20,27668,1,0.902965,3224,992,3,2,80,2269,14,1291,1,1,1,689,621,404,1
1550833984,29,7655,9,26485,0,1.807116,1309,758,1,3,96,1264,46,3966,1,1,0,706,479,404,1
1550230749,68,1927,24,47214,1,0.664007,3398,121,2,9,86,2942,35,1152,0,1,1,952,695,403,0
1557174887,24,55206,17,59491,0,0.861928,1156,1631,2,5,100,93,65,3692,1,0,1,25,905,404,0
1552427355,30,19360,55,21844,1,0.940306,2274,2231,2,3,86,3527,37,902,0,1,1,530,955,404,0
1552776648,66,16042,47,35167,0,0.791725,2616,1158,1,10,99,1987,48,1213,1,0,1,509,570,500,0
1553155467,42,9308,9,4048,0,1.571166,3969,2205,2,8,18,2948,46,1027,0,0,1,624,816,403,0
1551401277,13,28446,25,32900,1,1.6599,1727,748,0,2,10,2040,43,3269,0,0,0,25,353,500,0
1558247338,44,64351,10,25780,1,1.518912,753,1821,1,3,70,1984,72,3255,1,0,1,591,547,404,0
1551222855,14,26397,30,48885,1,0.467172,2072,2857,3,1,51,2898,25,699,0,1,0,818,456,403,0
1558415788,22,20791,1,18993,0,0.161371,575,2185,2,8,34,3805,8,1280,1,1,1,377,533,403,0
1557492048,70,52824,61,10743,1,0.351381,1765,2104,2,2,20,744,3,1119,0,0,1,995,456,200,0
1555191546,63,38870,33,18558,1,1.692532,2415,2579,1,6,3,3044,18,3464,1,1,1,386,675,404,0
1557068346,8,24650,65,52269,1,1.171363,4702,1457,2,10,23,2697,77,2073,0,0,1,832,53,404,0
1555781468,52,61064,51,9349,1,1.016344,4714,3905,3,2,21,2992,81,373,0,1,1,792,56,404,0
1552357088,24,25488,34,10267,1,1.565669,2496,4352,2,7,14,130,37,3496,0,0,1,394,580,403,0
1558147732,20,37125,42,41379,1,0.737047,3192,3337,2,0,86,2450,19,3500,1,0,1,613,110,200,0
1556223297,57,26143,45,22475,0,0.769141,514,3115,3,5,72,1494,38,3436,0,1,0,537,39,200,0
1558101440,56,16445,64,60371,1,1.806294,4819,1809,0,0,39,2260,31,3844,1,0,1,120,22,403,0
1555646131,1,38654,22,48891,1,0.023107,1174,406,3,1,5,3132,51,1711,0,0,0,972,521,500,0
1554780405,77,37338,49,46322,1,0.618385,4975,202,2,7,58,2822,44,274,0,0,0,615,497,200,0
1559486413,55,25079,57,57538,1,1.860469,1830,3463,1,9,88,2625,45,258,1,0,0,120,831,500,0
1555311033,70,8651,15,62259,0,0.278966,2971,2468,0,2,18,3890,98,2984,1,0,1,515,443,404,0
1556876614,55,17645,13,3511,0,0.36997,1231,516,2,9,76,3772,73,613,0,1,0,865,693,403,0
1550221916,2,57648,13,23842,1,1.429195,1402,1624,3,8,14,3311,65,1567,0,1,1,116,765,200,0
1552538871,74,45684,23,6083,1,0.985494,4170,1534,3,8,100,1923,2,3873,0,0,1,142,664,200,0
1555648576,31,40045,46,57687,0,0.740826,4006,4367,3,7,10,3537,81,569,1,0,1,393,939,403,0
1551263831,69,5464,62,22921,0,1.993951,3204,4089,3,5,60,3276,27,2038,1,1,1,67,323,200,0
1551478412,80,3945,66,20596,1,1.686619,4029,4454,2,4,97,1095,81,1049,0,0,0,712,352,403,0
1553868051,26,34212,11,7622,0,1.096791,2846,116,3,9,79,914,93,2856,1,1,0,525,664,404,0
1558264377,61,16140,50,49511,0,1.713119,610,4529,2,4,10,740,4,3711,0,0,0,172,412,403,0
1553716204,32,35785,58,50865,1,1.371667,3951,4051,2,3,72,1510,79,1158,0,0,1,522,888,403,0
1550739434,23,25806,40,16376,0,0.950821,4588,3540,2,3,55,3834,17,1192,1,0,0,126,98,200,0
1552050046,16,50044,36,53178,0,0.100127,1340,3688,2,9,19,3695,60,2665,0,1,0,979,270,500,0
1551703899,51,11877,59,13910,0,0.228305,2096,2742,3,10,68,267,41,3812,0,0,0,463,885,500,0
1557077908,60,32140,68,1480,1,0.02638,1728,3575,2,5,63,3637,46,3779,0,1,1,241,977,200,0
1557339139,79,38442,0,37765,0,0.023784,3506,622,2,1,55,334,97,2121,1,1,1,598,409,500,0
1558839893,36,3543,29,34273,1,1.83188,3385,4145,0,2,59,2633,19,1155,1,0,0,604,282,403,0
1550703525,71,31003,11,25835,1,1.36288,1927,956,0,5,45,233,48,1126,1,0,1,833,273,500,0
1551855679,40,15205,15,42006,1,0.224817,1441,1556,3,3,97,3748,73,179,1,1,0,949,266,403,0
1557362082,54,46167,7,41630,1,0.473745,1173,2209,2,7,67,679,42,3985,1,0,0,221,147,404,0
1551694346,42,6669,23,59677,1,1.33516,3740,329,0,7,28,2477,14,1964,1,1,0,824,181,404,0
1551302369,47,33589,1,1674,1,0.935982,1644,4667,0,2,10,2937,1,2681,0,1,1,591,89,403,0
1556250725,76,32050,33,20159,1,1.034665,1442,171,1,7,72,1895,2,3586,0,1,0,421,929,200,0
1553938678,85,58121,16,31653,1,1.615994,2886,3479,2,7,83,3102,71,373,0,0,1,259,300,403,0
1559567166,64,27089,69,17626,0,0.261602,4437,4193,3,10,1,1990,70,1464,1,0,1,132,348,500,0
1559494198,17,41754,41,14630,1,1.159995,2444,4777,0,10,98,1635,13,158,0,0,1,679,154,404,0
1554889291,65,13711,41,40268,1,1.71299,3614,3440,2,4,2,71,68,3901,1,1,1,936,387,500,0
1555344049,48,34325,5,44184,1,1.185465,2222,382,1,3,33,3097,52,3053,1,1,1,502,974,403,0
1554231531,55,12177,2,19497,0,0.437535,1154,895,0,3,84,1672,24,3269,1,0,0,734,58,404,0
1559788245,45,2978,67,39825,1,1.136067,3901,4415,0,0,37,2776,59,2140,0,0,1,828,598,404,0
1557662827,48,7249,8,18563,1,0.900474,906,373,0,2,59,1842,91,503,0,0,1,187,187,200,0
1551535328,63,3889,1,40494,1,1.018013,997,2670,2,3,25,3266,34,2459,0,0,0,970,709,404,1
1551530996,39,20828,47,26339,0,1.764297,1281,501,2,6,41,1822,81,1814,1,1,1,253,749,500,1
1558793785,4,16740,32,29665,1,0.857267,1440,187,3,5,64,2146,77,3609,1,0,0,302,738,200,1
1555757183,75,34211,31,48317,0,1.812604,1232,41,0,9,38,2142,50,663,1,0,0,557,606,404,1
1557091059,28,35528,21,39923,0,0.750584,1434,27,2,7,38,2593,50,1378,1,0,1,375,963,403,1
1558598051,19,62023,52,23067,1,0.029288,439,3556,1,6,95,1975,95,573,1,0,0,299,338,404,1
1556236764,85,42886,35,12758,0,0.447433,736,3999,1,6,54,541,52,3887,1,0,1,679,48,200,1
1559560868,41,13863,72,41286,0,0.926456,3835,3496,2,3,66,1316,99,595,1,1,0,27,222,403,1
1557917487,83,35366,3,8223,1,0.426751,2933,2570,3,5,37,3921,54,1768,1,0,0,513,296,500,1
